,restaurant_name,location_url
0,সালমাস ফুড,https://www.google.com/maps/place/%E0%A6%B8%E0%A6%BE%E0%A6%B2%E0%A6%AE%E0%A6%BE%E0%A6%B8+%E0%A6%AB%E0%A7%81%E0%A6%A1/data=!4m7!3m6!1s0x3754a5007c0fa519:0x6d8a9e2655896393!8m2!3d22.8811152!4d91.1004698!16s%2Fg%2F11ld2p1cf_!19sChIJGaUPfAClVDcRk2OJVSaeim0?authuser=0&hl=bn&rclk=1
1,মনির রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%AE%E0%A6%A8%E0%A6%BF%E0%A6%B0+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a5004d2bfa5d:0x49b8a2dbe7acf848!8m2!3d22.878234!4d91.1019799!16s%2Fg%2F11x0gl2l2v!19sChIJXforTQClVDcRSPis59uiuEk?authuser=0&hl=bn&rclk=1
2,মোল্লার হোটেল (মোল্লার হোটেল),https://www.google.com/maps/place/%E0%A6%AE%E0%A7%8B%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B0+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%28%E0%A6%AE%E0%A7%8B%E0%A6%B2%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B0+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2%29/data=!4m7!3m6!1s0x3754a5002529e415:0xe77843ea03c8baac!8m2!3d22.8769058!4d91.1039506!16s%2Fg%2F11w2dtg4kr!19sChIJFeQpJQClVDcRrLrIA-pDeOc?authuser=0&hl=bn&rclk=1
3,তাসমি বিরিয়ানী হাউস,https://www.google.com/maps/place/%E0%A6%A4%E0%A6%BE%E0%A6%B8%E0%A6%AE%E0%A6%BF+%E0%A6%AC%E0%A6%BF%E0%A6%B0%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%A8%E0%A7%80+%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%B8/data=!4m7!3m6!1s0x3754a5148b3c6007:0x6acf29c70ffe1cf5!8m2!3d22.883201!4d91.0971493!16s%2Fg%2F11hf7w2c9k!19sChIJB2A8ixSlVDcR9Rz-D8cpz2o?authuser=0&hl=bn&rclk=1
4,ভাত ঘর হোটেল,https://www.google.com/maps/place/%E0%A6%AD%E0%A6%BE%E0%A6%A4+%E0%A6%98%E0%A6%B0+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2/data=!4m7!3m6!1s0x3754a5001a93c781:0x71a972d3a478d328!8m2!3d22.8696055!4d91.0966423!16s%2Fg%2F11md8p9qzj!19sChIJgceTGgClVDcRKNN4pNNyqXE?authuser=0&hl=bn&rclk=1
5,পাটওয়ারী মুরগী বিতান,https://www.google.com/maps/place/%E0%A6%AA%E0%A6%BE%E0%A6%9F%E0%A6%93%E0%A7%9F%E0%A6%BE%E0%A6%B0%E0%A7%80+%E0%A6%AE%E0%A7%81%E0%A6%B0%E0%A6%97%E0%A7%80+%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%A8/data=!4m7!3m6!1s0x3754a5a88e0b2f8b:0xd77eec890ef49513!8m2!3d22.884329!4d91.1050659!16s%2Fg%2F11rhf3p636!19sChIJiy8LjqilVDcRE5X0Donsftc?authuser=0&hl=bn&rclk=1
6,ক্যাফে জিসান হোটেল এন্ড রেস্টুরেন্ট,https://www.google.com/maps/place/%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AB%E0%A7%87+%E0%A6%9C%E0%A6%BF%E0%A6%B8%E0%A6%BE%E0%A6%A8+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%8F%E0%A6%A8%E0%A7%8D%E0%A6%A1+%E0%A6%B0%E0%A7%87%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F/data=!4m7!3m6!1s0x3754a461e4f44e69:0x7d554fd3c2f7facb!8m2!3d22.8833243!4d91.0973266!16s%2Fg%2F11bw_59k0t!19sChIJaU705GGkVDcRy_r3wtNPVX0?authuser=0&hl=bn&rclk=1
7,AFGANI BIRIYANI,https://www.google.com/maps/place/AFGANI+BIRIYANI/data=!4m7!3m6!1s0x3754a53ed523be79:0xcc4a1d3c3381dd57!8m2!3d22.8821718!4d91.0971573!16s%2Fg%2F11xdf_z7dm!19sChIJeb4j1T6lVDcRV92BMzwdSsw?authuser=0&hl=bn&rclk=1
8,Tokyo Food,https://www.google.com/maps/place/Tokyo+Food/data=!4m7!3m6!1s0x3754a461dfbdf2d3:0x8c021938da552990!8m2!3d22.8828232!4d91.0973598!16s%2Fg%2F11bx0h8d36!19sChIJ0_K932GkVDcRkClV2jgZAow?authuser=0&hl=bn&rclk=1
9,Ashraf,https://www.google.com/maps/place/Ashraf/data=!4m7!3m6!1s0x3754a5fb21c00187:0xddab49f2e15bd890!8m2!3d22.8845755!4d91.1029706!16s%2Fg%2F11hym1bd9z!19sChIJhwHAIfulVDcRkNhb4fJJq90?authuser=0&hl=bn&rclk=1
