Book Name,Author Name,Category,Rating,Price
পাঞ্জেরী উচ্চতর গণিত দ্বিতীয় পত্র স্পেশাল সাপ্লিমেন্ট - এইচএসসি ২০২৫(পেপারব্যাক),পাঞ্জেরী সম্পাদনা পর্ষদ,এইচএসসি ১ম বর্ষ: গণিত পাঠ্য সহায়িকা,-,TK. 300
ইসলাম সম্পর্কে অমুসলিমদের প্রশ্নের জবাবে ডা. জাকির নায়েক (পেপারব্যাক),ডা. জাকির নায়েক,ইসলামি অনুবাদ বই,12 Ratings | 7 Reviews,TK. 56
প্রোগ্রামিং সমগ্র (হার্ডকভার),"জাকির হোসাইন ,",কম্পিউটার প্রোগ্রামিং,-,TK. 929
প্রশ্নব্যাংক খুলনা বিশ্ববিদ্যালয় ভর্তি সহায়িকা - মানবিক C ইউনিট(পেপারব্যাক),জয়কলি সম্পাদনা পরিষদ (সম্পাদক),মানবিক বিভাগ ভর্তি প্রস্তুতি,3 Ratings | 3 Reviews,TK. 370
সবুজ ভেলভেট(হার্ডকভার),মুহম্মদ জাফর ইকবাল,সমকালীন উপন্যাস,14 Ratings | 9 Reviews,TK. 129
ক্যারিয়ার ইন্টেলিজেন্স(হার্ডকভার),গাজী মিজানুর রহমান (বিসিএস),ক্যারিয়ার উন্নয়ন,7 Ratings | 3 Reviews,TK. 344
ইসলামের নামে জঙ্গীবাদ : আলোচিত ও অনালোচিত কারণসমূহ(হার্ডকভার),ড. খোন্দকার আব্দুল্লাহ জাহাঙ্গীর,"ইসলামি গবেষণা, সমালোচনা ও প্রবন্ধ",99 Ratings | 59 Reviews,TK. 140
বাংলা এ প্লাস - এইচএসসি ২০২৬(পেপারব্যাক),নাহিদ হাসান মুন্না,এইচএসসি ১ম বর্ষ: আবশ্যিক বিষয়,345 Ratings | 341 Reviews,TK. 380
ডাবল স্ট্যান্ডার্ড ২.০(হার্ডকভার),ডা. শামসুল আরেফীন,ইসলামি আদর্শ ও মতবাদ,32 Ratings | 19 Reviews,TK. 314
নেটওয়ার্ক গুচ্ছ মডেল টেস্ট - মানবিক বিভাগ(পেপারব্যাক),আসপেক্ট সিরিজ লেখকবৃন্দ,মানবিক বিভাগ ভর্তি প্রস্তুতি,-,TK. 200
ইংলিশ সেকেন্ড পেপার এসএসসি ২০২৬ - দশম শ্রেণি(পেপারব্যাক),রয়েল সম্পাদনা পর্ষদ (সম্পাদক),নবম ও দশম (বিজ্ঞান): ইংরেজি পাঠ্য সহায়িকা,-,TK. 495
দুর্দিনের যাত্রী(হার্ডকভার),কাজী নজরুল ইসলাম,সাহিত্য ও সাহিত্যিক বিষয়ক প্রবন্ধ,3 Ratings | 1 Review,TK. 88
সালাত আদায়ে গাফিলতির সমাধান প্যাকেজ(হার্ডকভার),"ড. খালিদ আবু শাদি ,",ধর্মীয় বই কালেকশন,-,TK. 729
আর রাহীকুল মাখতূম : বিশ্বনবী হযরত মোহাম্মদ (সাঃ) এর পূর্ণাঙ্গ জীবনী(হার্ডকভার),"আল্লামা সফিউর রহমান মুবারকপুরী (রহ.) ,",সীরাতে রাসূল ﷺ,3 Ratings | 1 Review,TK. 372
ফিলোসফির বয়স কত?(হার্ডকভার),আবদুল্লাহ আল মামুন (কাইকর),বাংলা কবিতা,455 Ratings | 64 Reviews,TK. 275
২০১৭ সালে রকমারি বেস্ট সেলার উপন্যাস ৫টি বইয়ের কালেকশন,"শাহাদুজ্জামান ,",উপন্যাস কালেকশন,2 Ratings | No Review,TK. 1914
সূরা ফালাকের অনুধাবন ও শিক্ষা (পেপারব্যাক),"নোমান আলী খান ,",কুরআন বিষয়ক আলোচনা,-,TK. 46
Progga BCS Written English(Paperback),Saifur Rahman Khan,বিসিএস প্রিলি: ইংরেজি ভাষা ও সাহিত্য,-,TK. 519
জীবন ও কর্ম : মুআবিয়া ইবনে আবি সুফিয়ান রা. (২য় খণ্ড)(হার্ডকভার),"ড. আলী মুহাম্মদ সাল্লাবি ,","নবি-রাসুল, সাহাবা, তাবেই ও অলি-আওলিয়া",1 Ratings | No Review,TK. 300
ছেলেবেলা(হার্ডকভার),রবীন্দ্রনাথ ঠাকুর,আত্ম-চরিত,-,TK. 150
আলোচিত ৮টি ইসলামি বই (বইমেলা ২০২০)(হার্ডকভার),"মুফতি ইসমাঈল মেন্‌ক ,",ধর্মীয় বই কালেকশন,10 Ratings | 2 Reviews,TK. 2081
আকর্ষণীয় ঘটনা(হার্ডকভার),"(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মাদ তাকী উসমানী ,",ইসলামের বিশেষ দিন ও ঘটনাবলি,3 Ratings | 2 Reviews,TK. 150
ম্যাজিক মুনশি(হার্ডকভার),হুমায়ূন আহমেদ,অতিপ্রাকৃত ও ভৌতিক উপন্যাস,29 Ratings | 15 Reviews,TK. 241
অর্ধবৃত্ত(হার্ডকভার),সাদাত হোসাইন,সমকালীন উপন্যাস,315 Ratings | 146 Reviews,TK. 480
এসো বাংলা শিখি - দ্বিতীয় ভাগ(পেপারব্যাক),পাঞ্জেরী সম্পাদনা পর্ষদ (সম্পাদক),কিন্ডারগার্টেন: কেজি,-,TK. 170
দ্য ডায়নামিক সুলতান আবদুল হামিদ খান(হার্ডকভার),"ড. আলী মুহাম্মদ সাল্লাবি ,",ঐতিহাসিক ব্যক্তিত্ব,18 Ratings | 15 Reviews,TK. 240
রহস্যময় ব্ল্যাক হোল(হার্ডকভার),মুহম্মদ জাফর ইকবাল,পদার্থবিজ্ঞান,120 Ratings | 79 Reviews,TK. 172
"কিউএনএ বি/ডি ইউনিট এনালাইসিস মেগাবুক - ঢাবি, গুচ্ছ সকল বিশ্ববিদ্যালয়য়(পেপারব্যাক)",কিউএনএ পাবলিকেশন্স লেখক পরিষদ,বিশ্ববিদ্যালয় ভর্তি প্রস্তুতি,5 Ratings | 6 Reviews,TK. 849
রুবাইয়াৎ-ই-ওমর খৈয়াম(হার্ডকভার),কাজী নজরুল ইসলাম,অনুবাদ কবিতা,2 Ratings | 4 Reviews,TK. 172
ড. খোন্দকার আব্দুল্লাহ জাহাঙ্গীর এর বেস্ট সেলার ৫টি বই(হার্ডকভার),ড. খোন্দকার আব্দুল্লাহ জাহাঙ্গীর,ধর্মীয় বই কালেকশন,9 Ratings | 1 Review,TK. 1224
টিটিং (হার্ডকভার),মুহম্মদ জাফর ইকবাল,শিশু-কিশোর: ভৌতিক,8 Ratings | 3 Reviews,TK. 225
লেকচার বুক অ্যাপ এডমিশন টেস্ট প্রশ্নব্যাংক প্লাস প্লাস - ভার্সিটি ক(পেপারব্যাক),লেকচার,বিশ্ববিদ্যালয় ভর্তি প্রস্তুতি,-,TK. 263
এইচএসসি ২০২৭ প্যারালাল টেক্সট বাংলা ১ম পত্র (পেপারব্যাক),উদ্ভাস একাডেমিক এন্ড এডমিশন কেয়ার (সম্পাদক),এইচএসসি ১ম বর্ষ: বাংলা পাঠ্য সহায়িকা,-,TK. 895
ট্রাভেল বাংলাদেশ চ্যালেঞ্জ বুক(পেপারব্যাক),আয়মান সাদিক,বাংলাদেশ ভ্রমণ,253 Ratings | 117 Reviews,TK. 172
ডা. জাকির নায়েক লেকচার সমগ্র(সবখন্ড একত্রে)(ছোট)(হার্ডকভার),ডা. জাকির নায়েক,ইসলামি বিধি-বিধান ও মাসআলা-মাসায়েল,7 Ratings | 3 Reviews,TK. 350
রাহে বেলায়াত(হার্ডকভার),ড. খোন্দকার আব্দুল্লাহ জাহাঙ্গীর,আধ্যাত্মিকতা ও সুফিবাদ,832 Ratings | 481 Reviews,TK. 385
ফিকহুস সুনানি ওয়াল আসার - ৩য় খণ্ড(হার্ডকভার),"সাইয়েদ মুহাম্মদ আমীমুল ইহসান ,",হাদিস ও সুন্নাত,13 Ratings | 5 Reviews,TK. 210
সায়েন্স ফিকশান সমগ্র ৩য় খণ্ড(হার্ডকভার),মুহম্মদ জাফর ইকবাল,সায়েন্স ফিকশন সমগ্র/সংকলন,13 Ratings | 4 Reviews,TK. 528
শ্রীকান্ত(হার্ডকভার),শরৎচন্দ্র চট্টোপাধ্যায়,চিরায়ত উপন্যাস,2 Ratings | No Review,TK. 390
গণিতের জেমস বন্ড(হার্ডকভার),মোত্তাসিন পাহলভী,গণিত,269 Ratings | 183 Reviews,TK. 344
ইসলাম ও মানবাধিকার,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মাদ তাকী উসমানী,ইসলাম প্রসঙ্গ,1 Ratings | No Review,TK. 84
কিউএনএ এসএসসি এমসিকিউ প্রিপারেশন বুক - রসায়ন(পেপারব্যাক),কিউএনএ পাবলিকেশন্স লেখক পরিষদ (সম্পাদক),নবম ও দশম (বিজ্ঞান): রসায়ন পাঠ্য সহায়িকা,-,TK. 472
বাঁধন-হারা(হার্ডকভার),কাজী নজরুল ইসলাম,চিরায়ত উপন্যাস,1 Ratings | No Review,TK. 241
মুমিন ও মুনাফিক(হার্ডকভার),"(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মাদ তাকী উসমানী ,","ঈমান, আক্বিদা ও তাওবাহ",3 Ratings | 2 Reviews,TK. 95
আর রাহীকুল মাখতুম (হার্ডকভার),"আল্লামা সফিউর রহমান মুবারকপুরী (রহ.) ,",সীরাতে রাসূল ﷺ,34 Ratings | 26 Reviews,TK. 486
মৃত্যুক্ষুধা (হার্ডকভার),কাজী নজরুল ইসলাম,চিরায়ত উপন্যাস,-,TK. 188
"প্যারাময় লাইফ, লোকে কী বলবে?(হার্ডকভার)","ঝংকার মাহবুব ,",আত্ম উন্নয়ন ও মোটিভেশন,-,TK. 459
চাঁদের পাহাড়(হার্ডকভার),বিভূতিভূষণ বন্দ্যোপাধ্যায়,"বয়স যখন ১২-১৭: রহস্য, গোয়েন্দা, থ্রিলার ও অ্যাডভেঞ্চার",3 Ratings | 2 Reviews,TK. 113
শ্রেষ্ঠ কবিতা(হার্ডকভার),রবীন্দ্রনাথ ঠাকুর,চিরায়ত কাব্য,-,TK. 250
তাসাওউফ ও আত্মশুদ্ধি (হার্ডকভার),(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মাদ তাকী উসমানী,আধ্যাত্মিকতা ও সুফিবাদ,1 Ratings | 1 Review,TK. 208
জোছনা ও জননীর গল্প(হার্ডকভার),হুমায়ূন আহমেদ,রাজনৈতিক ও মুক্তিযুদ্ধভিত্তিক উপন্যাস,320 Ratings | 132 Reviews,TK. 688
আত তারিখ আল ইসলামি - ফাযিল ৩য় বর্ষ(পেপারব্যাক),লেকচার,ফাযিল তৃতীয় বর্ষ,-,TK. 504
আল ফিরাকুল ইসলামিয়্যাহ ওয়া আকাইদুহা - ফাযিল ৩য় বর্ষ(পেপারব্যাক),লেকচার,ফাযিল তৃতীয় বর্ষ,-,TK. 409
