,restaurant_name,location_url
0,টেকনোলজি টুডে,https://www.google.com/maps/place/%E0%A6%9F%E0%A7%87%E0%A6%95%E0%A6%A8%E0%A7%8B%E0%A6%B2%E0%A6%9C%E0%A6%BF+%E0%A6%9F%E0%A7%81%E0%A6%A1%E0%A7%87/data=!4m7!3m6!1s0x3754a461e0704f05:0x9de814c904cae9ee!8m2!3d22.8816237!4d91.0969942!16s%2Fg%2F11bzt2pjs0!19sChIJBU9w4GGkVDcR7unKBMkU6J0?authuser=0&hl=bn&rclk=1
1,কম্পিউটার শপ,https://www.google.com/maps/place/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3754a461d9753c07:0x2d3007b123a740fd!8m2!3d22.8822024!4d91.0971683!16s%2Fg%2F1td_3jsc!19sChIJBzx12WGkVDcR_UCnI7EHMC0?authuser=0&hl=bn&rclk=1
2,কম্পিউটার সিটি,https://www.google.com/maps/place/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%B8%E0%A6%BF%E0%A6%9F%E0%A6%BF/data=!4m7!3m6!1s0x3754a5bb4a9163bf:0xd89f4319d04554fa!8m2!3d22.8674548!4d91.0964561!16s%2Fg%2F11shpj4l1q!19sChIJv2ORSrulVDcR-lRF0BlDn9g?authuser=0&hl=bn&rclk=1
3,ডায়নামিক কম্পিউটার,https://www.google.com/maps/place/%E0%A6%A1%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A6%BF%E0%A6%95+%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0/data=!4m7!3m6!1s0x3754a4f6264431fd:0xd4d8ecfeab9c7624!8m2!3d22.8723699!4d91.0920644!16s%2Fg%2F11c2l_nkyq!19sChIJ_TFEJvakVDcRJHacq_7s2NQ?authuser=0&hl=bn&rclk=1
4,নিউ ডাইমেনশন,https://www.google.com/maps/place/%E0%A6%A8%E0%A6%BF%E0%A6%89+%E0%A6%A1%E0%A6%BE%E0%A6%87%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3754a457e2748dc5:0x3b9677183832a60e!8m2!3d22.865507!4d91.0969451!16s%2Fg%2F1thtmz70!19sChIJxY104lekVDcRDqYyOBh3ljs?authuser=0&hl=bn&rclk=1
5,সিস্টেক ইট সলিউশন,https://www.google.com/maps/place/%E0%A6%B8%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%95+%E0%A6%87%E0%A6%9F+%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%89%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3754a56203f8e5a7:0xd5fefbecd0c11890!8m2!3d22.8695459!4d91.0974399!16s%2Fg%2F11f7nkx7ng!19sChIJp-X4A2KlVDcRkBjB0Oz7_tU?authuser=0&hl=bn&rclk=1
6,ডিএসএস,https://www.google.com/maps/place/%E0%A6%A1%E0%A6%BF%E0%A6%8F%E0%A6%B8%E0%A6%8F%E0%A6%B8/data=!4m7!3m6!1s0x3754a57024a9e037:0xead38be820b4c2cb!8m2!3d22.8695525!4d91.0975244!16s%2Fg%2F11g2zx4q81!19sChIJN-CpJHClVDcRy8K0IOiL0-o?authuser=0&hl=bn&rclk=1
7,কম্পিউটার ভিশন,https://www.google.com/maps/place/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%AD%E0%A6%BF%E0%A6%B6%E0%A6%A8/data=!4m7!3m6!1s0x3754a5fa214d5fc1:0x77939d3af20a1253!8m2!3d22.869678!4d91.0966422!16s%2Fg%2F11hdv8g9kw!19sChIJwV9NIfqlVDcRUxIK8jqdk3c?authuser=0&hl=bn&rclk=1
8,কম্পিউটার ওয়ার্ল্ড,https://www.google.com/maps/place/%E0%A6%95%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%BF%E0%A6%89%E0%A6%9F%E0%A6%BE%E0%A6%B0+%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B2%E0%A7%8D%E0%A6%A1/data=!4m7!3m6!1s0x3754a5906fd7030b:0x3fa58b81af41aef5!8m2!3d22.8690096!4d91.0966463!16s%2Fg%2F11r1g2qnb0!19sChIJCwPXb5ClVDcR9a5Br4GLpT8?authuser=0&hl=bn&rclk=1
9,সনি রেংস শোরুম,https://www.google.com/maps/place/%E0%A6%B8%E0%A6%A8%E0%A6%BF+%E0%A6%B0%E0%A7%87%E0%A6%82%E0%A6%B8+%E0%A6%B6%E0%A7%8B%E0%A6%B0%E0%A7%81%E0%A6%AE/data=!4m7!3m6!1s0x3754a59d2b75b043:0xc68b95e32d852f80!8m2!3d22.8849228!4d91.0971115!16s%2Fg%2F11t4jztl6_!19sChIJQ7B1K52lVDcRgC-FLeOVi8Y?authuser=0&hl=bn&rclk=1
10,হিমালয় ইলেকট্রনিক শপ,https://www.google.com/maps/place/%E0%A6%B9%E0%A6%BF%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A7%9F+%E0%A6%87%E0%A6%B2%E0%A7%87%E0%A6%95%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BF%E0%A6%95+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3754a51635e46a33:0x1ae2906a84c4844a!8m2!3d22.8605675!4d91.0962983!16s%2Fg%2F11qqypt7d0!19sChIJM2rkNRalVDcRSoTEhGqQ4ho?authuser=0&hl=bn&rclk=1
11,অনলাইন শপ,https://www.google.com/maps/place/%E0%A6%85%E0%A6%A8%E0%A6%B2%E0%A6%BE%E0%A6%87%E0%A6%A8+%E0%A6%B6%E0%A6%AA/data=!4m7!3m6!1s0x3754a559f41824af:0x4c9353f86f00640b!8m2!3d22.8482898!4d91.0757791!16s%2Fg%2F11k4_fxlxp!19sChIJryQY9FmlVDcRC2QAb_hTk0w?authuser=0&hl=bn&rclk=1
