laptop_name,price,rating,detail
"Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB314-3H-C0BZ Chromebook  (14 inch, Silver, 1.45 Kg)","₹14,990",3.8,"Laptop, Power Adaptor, User Guide, Warranty Documents|CB314-3H-C5QE/ CB314-3H-C0BZ|NX.K04SI.007|CB314-3H|Chromebook|Silver|Chromebook|Processing & Multitasking|No|Intel|Celeron Dual Core|No|8 GB|LPDDR4X|128 GB|N4500|1.10 GHz with Max Turbo Boost Frequency Up to 2.80 GHz|Intel Integrated UHD|eMMC|Chrome|2 x USB 3.2 Gen 1 Type-C port, 2 x USB 3.2 Gen 1 Type-A port|No|35.56 cm (14 inch)|1920 X 1080 Pixel|HD LED-backlit TFT LCD|Yes|Yes|802.11a/b/g/n/acR2+ax wireless LAN|v5.1|326.4 x 225 x 20 mm|1.45 Kg|Not Available|UFC with Narrow USB HD camera, Compatible with Chromebook, 1280 x 720 resolution, 720p HD video at 30 fps with Temporal Noise Reduction|74-/75-/78-key Acer FineTip keyboard with international language support|No|1 Year Onsite Warranty|Onsite|Manufacturing Defects|Physical damage"
"MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop  (14 Inch, PANTONE Bronze Green, 1.4 Kg, With MS Office)","₹60,990",4.4,"Laptop, Power Adaptor, User Guide, Warranty Documents|14IRH10R|83J7000CIN|Motobook 60|Motobook 60 Full Metal OLED (i5 14th Gen)|PANTONE Bronze Green|Thin and Light Laptop|Entertainment, Performance, Processing & Multitasking, Everyday Use, Travel & Business|Upto 6 Hours|65W AC Adapter|Lithium-Polymer|Yes|No|No|DDR5|Intel|Core 5 (Series 2)|Yes|512 GB|16 GB|DDR5|210H|up to 4.80 GHz|12 MB|Intel Integrated|8|SSD|64 bit|Windows 11 Home|Windows 11|Yes|2 x USB3.2 Gen-1 (1 port always on), 1x USB (5Gbps- Data Transfer)|1 x HDMI 1.4b|No|35.56 cm (14 Inch)|2880 x 1880 pixel|OLED Display|2Wx2 HD Audio|2 Digital Array Microphone|120 Hz|100%DCI-P3|500 Nits|Yes|313.4 x 222 x 179 mm|1.4 Kg|Not Available|FHD Webcam|No|Yes|Yes|Office Home 2024|No|1 Year Onsite Warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
"ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS Thin and Light Laptop  (15.6 Inch, Cool Silver, 1.63 Kg, With MS Office)","₹32,990",4.2,"Laptop, Power Adaptor, User Guide, Warranty Documents|E1504FA-NJ132WS|90NB0ZR1-M02LB0|E1504FA-NJ132WS|Vivobook Go 15|Cool Silver|Thin and Light Laptop|Processing & Multitasking|45W AC Adapter|3-cell Li-ion|Yes|AMD|Ryzen 5 Quad Core|Yes|512 GB|8 GB|LPDDR5|7520U|up to 4.3GHz|6MB|AMD Radeon AMD|4|SSD|Windows 11 Home|Windows 11 Home|Yes|1 x USB 2.0 Type-A (data speed up to 480Mbps), 1 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps), 1 x USB 3.2 Gen 1 Type-C (data speed up to 5Gbps)|1 x HDMI 1.4|M.2 2280 PCIe 3.0x2|No|39.62 cm (15.6 Inch)|1920 x 1080 Pixel|FHD (1920 x 1080) 16:9 aspect ratio 60Hz refresh rate 250nits 45% NTSC color gamut|Built-in speaker|Built-in array microphone|SonicMaster|60 Hz|45% NTSC|250 Nits|Wi-Fi 6E(802.11ax) (Dual band) 1*1|v5.3|360.3 x 232.5 x 179 mm|1.63 Kg|Not Available|720p HD camera With privacy shutter|No|Trusted Platform Module (Firmware TPM)|Chiclet Keyboard|No|Precision touchpad|Microsoft Office Home 2024 + Microsoft 365 Basic|1 Year Onsite Warranty|Onsite|Manufacturing Defects Only|Physical Damage"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ321WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, With MS Office)","₹30,990",4.3,"Laptop, Power Adaptor, User Guide, Warranty Documents|X1504ZA-NJ321WS|90NB1021-M00580|Vivobook 15|Vivobook 15, with Backlit Keyboard,|Quiet Blue|Thin and Light Laptop|Travel & Business|UPTO 8 HRS|Yes|Intel|Core i3|12th Gen|Yes|512 GB|8 GB|DDR4|1215U|Up to 4.4 GHz|Intel Integrated Integrated Intel® UHD Graphics|SSD|Windows 11 Home|1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A|No|39.62 cm (15.6 Inch)|1920 x 1080 pixel|Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display|YES|Not Available|720p HD camera With privacy shutter|1-year warranty|Onsite|Manufacturing Defects|Physical Damage"
"Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Chromebook  (11.6 Inch, Graphite Grey, 1.23 Kg)","₹9,299",3.9,"Laptop, Power Adaptor, User Guide, Warranty Documents|82W00004HA|82W00004HA|Lenovo 100e Chromebook Gen 4|100e Chromebook Gen 4|Graphite Grey|Chromebook|Processing & Multitasking|45W USB-C (3-pin)|No|MediaTek|MediaTek Kompanio 520|No|4 GB|LPDDR4X|32 GB|520|MediaTek SoC Platform|MediaTek Integrated Arm Mali-G52 2EE MC2|8|eMMC|Chrome|ChromeOS|2 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort)|1 x HDMI 1.4b|No|29.46 cm (11.6 Inch)|1366 x 768 Pixel|HD, TN 250nits Anti-glare 60Hz|Stereo speakers, 2W x2, optimized with Waves MaxxAudio|Mono|High Definition (HD) Audio|250 Nits|MediaTek Wi-Fi 6 MT7921, 802.11ax 2x2|v5.1|No Onboard Etherne|287 x 200 x 18.6 mm|1.23 Kg|Not Available|HD 720p with Privacy Shutter|No|Kensington Nano Security Slot|Google Security Chip H1|Non-backlit, English|No|No|1 Year Carry-in Warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
"ASUS Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) X1607QA-MB050WS Thin and Light Laptop  (16 Inch, Cool Silver, 1.88 Kg, With MS Office)","₹59,990",4.1,"Laptop, Power Adaptor, User Guide, Warranty Documents|X1607QA-MB050WS|90NB15Z2-M005U0|X1607QA-MB050WS|Vivobook 16 (2025), Copilot + PC with Office 2024 + M365 Basic*, AI PC|Cool Silver|Thin and Light Laptop|Processing & Multitasking, Performance, Everyday Use, Travel & Business, Entertainment|TYPE-C 65W AC Adapter|3-cell|Yes|No|Qualcomm|Snapdragon X|Yes|512 GB|16 GB|LPDDR5X|X1 26 100|up to 2.97 GHz|8448 MHz|30 MB|Qualcomm Adreno Adreno|8|1 TB|SSD|Windows 11 Home|Yes|2 x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps), 2 x USB 4.0 Gen 3 Type-C with support for display / power delivery (data speed up to 40Gbps)|1x HDMI 2.1 TMDS|M.2 NVMe PCIe 4.0|No|40.64 cm (16 Inch)|1920 x 1200 Pixel|FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, 60Hz refresh rate, LED Backlit Anti-glare IPS-level Panel, 89% Screen-to-body ratio|Built-in speaker|Built-in array microphone|SonicMaster, Smart Amp Technology|60 Hz|45% NTSC|300 Nits|TUV Rheinland-certified|Wi-Fi 6E(802.11ax) (Triple band)|v5.3|357 x 250.6 x 17.9 mm|1.88 Kg|Not Available|FHD camera with IR function to support Windows Hello With privacy shutter|No|Yes|Microsoft Pluton security processor, Trusted Platform Module (Firmware TPM)|McAfee 1 Year|Backlit Chiclet Keyboard with Num-key With Copilot key|Yes|Touchpad|Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year, One-Month Membership of Adobe Creative Cloud All Apps|No|US MIL-STD 810H military-grade standard, AI Noise Canceling, 50WHrs, 3S1P, 3-cell Li-ion Battery|1 Year Onsite Warranty|Onsite|Manufacturing Defects|Physical damage|1 Year"
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)","₹15,990",3.8,"Laptop, Power Adaptor, User Guide, Warranty Documents|A311-45|UN.354SI.006|Aspire 3|Aspire 3|Steel Grey|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking|3 Pin 36 W AC Adapter|38 Wh Li-ion Battery|No|Intel|Celeron Dual Core|Yes|128 GB|8 GB|DDR4|16 GB|Intel Integrated UHD|SSD|64 bit|Windows 11 Home|Windows 11 Home|1 x Type C Port, 3 x USB 3.2 Port|1 x HDMI Port|No|29.46 cm (11.6 inch)|1366 x 768 Pixels|Two Built-in Stereo Speakers|802.11 a/b/g/n/ac Wireless LAN|v4.2|277.3 x 193.3 x 16.8 mm|1.0 kg|Not Available|1280 x 720 Resolution/720p HD Video|74-/75-/78-key Acer FineTip Keyboard|No|Multi Gesture Touchpad, Supporting Two Finger Scroll, Pinch, Action Center, Multitasking, Application Commands|No|1 Year Warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
"Lenovo Yoga Slim 7 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14IMH9 Thin and Light Laptop  (14 Inch, Luna Grey, 1.39 Kg)","₹75,990",4.2,"Laptop, Power Adaptor, User Guide, Warranty Documents|14IMH9|83CV0047IN|14IMH9|Yoga Slim 7 AI PC|Luna Grey|Thin and Light Laptop|Processing & Multitasking|No|Intel|Core Ultra 7|Yes|1 TB|16 GB|LPDDR5X|155H|Max Turbo up to 4.8GHz|Intel Integrated Intel Arc|SSD|Windows 11 Home|1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 2,x USB-C (Thunderbolt 4 / USB4 40Gbps), with USB PD 3.1 and DisplayPort 1.4|No|35.56 cm (14 Inch)|1920 x 1200 Pixel|WUXGA, OLED 400nits Glossy, 100% DCI-P3, 60Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 500|Yes|Yes|Wi-Fi 6E, 802.11ax 2x2|v5.3|312 x 221 x 14.9 mm|1.39 Kg|Not Available|FHD 1080p + IR with E-shutter, ToF Sensor|Backlit, English|1 Year Carry-in Warranty|Carry-In|Manufacturing Defects|Physical Damage"
"Lenovo Slim 5 Co-Pilot Next Gen AI PC Full Metal Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) 14Q8X9 Thin and Light Laptop  (14 Inch, Cloud Grey, 1.48 Kg, With MS Office)","₹60,990",4.1,"Laptop, Power Adaptor, User Guide, Warranty Documents|14Q8X9|83HL0035IN|14Q8X9|Slim 5 Co-Pilot Next Gen AI PC Full Metal|Cloud Grey|Thin and Light Laptop|Processing & Multitasking|Yes|Snapdragon|X Plus|Yes|1 TB|16 GB|LPDDR5X|X1P-42-100|Max Turbo up to 3.4GHz|Qualcomm Adreno|SSD|Windows 11 Home|1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), 1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On, 2 x USB-C (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort 1.4|No|35.56 cm (14 Inch)|1920 x 1200 Pixel|WUXGA, IPS 300nits Anti-glare, 100% sRGB|Yes|Yes|Wi-Fi 7, 802.11be 2x2|v5.3|312 x 221 x 16.9 mm|1.48 Kg|Not Available|FHD 1080p with Privacy Shutter|Backlit, English|1 Year Carry-in Warranty|Carry-in|Manufacturing Defects|Physical Damage"
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)","₹19,990",3.8,"Laptop, Power Adaptor, User Guide, Warranty Documents|A311-45|UN.354SI.002|Aspire 3|Aspire 3|Steel Grey|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking|3 Pin 36 W AC Adapter|38 Wh Li-ion Battery|No|Intel|Celeron Dual Core|Yes|512 GB|8 GB|DDR4|16 GB|Intel Integrated UHD|SSD|64 bit|Windows 11 Home|Windows 11 Home|1 x Type C Port, 3 x USB 3.2 Port|1 x HDMI Port|No|29.46 cm (11.6 inch)|1366 x 768 Pixels|Two Built-in Stereo Speakers|802.11 a/b/g/n/ac Wireless LAN|v4.2|277.3 x 193.3 x 16.8 mm|1.0 kg|Not Available|1280 x 720 Resolution/720p HD Video|74-/75-/78-key Acer FineTip Keyboard|No|Multi Gesture Touchpad, Supporting Two Finger Scroll, Pinch, Action Center, Multitasking, Application Commands|No|1 Year Warranty|Onsite|Manufacturing Defects|Physical Damage|1 Year"
